Product_name,Price
"MOTOROLA g35 5G (Midnight Black, 128 GB)","₹8,999"
"POCO C71 (Cool Blue, 128 GB)","₹6,999"
"POCO M7 5G (Mint Green, 128 GB)","₹9,699"
"MOTOROLA g35 5G (Leaf Green, 128 GB)","₹8,999"
"MOTOROLA g35 5G (Guava Red, 128 GB)","₹8,999"
"POCO C71 (Power Black, 128 GB)","₹6,999"
"POCO M6 Plus 5G (Misty Lavender, 128 GB)","₹9,999"
"POCO M6 Plus 5G (Ice Silver, 128 GB)","₹9,999"
"realme Narzo 80 Lite 4G (Beach Gold, 64 GB)","₹6,897"
"Motorola g45 5G (Brilliant Blue, 128 GB)","₹9,999"
"realme Narzo 80 Lite 4G (Obsidian Black, 64 GB)","₹6,884"
"Motorola g45 5G (Viva Magenta, 128 GB)","₹9,999"
"POCO M6 Plus 5G (Graphite Black, 128 GB)","₹9,999"
"REDMI A4 5G only on Jio SIM (Starry Black, 64 GB)","₹8,049"
"REDMI A4 (Sparkle Purple, 128 GB)","₹9,490"
"Motorola g45 5G (Brilliant Green, 128 GB)","₹9,999"
"realme C61 (Safari Green, 128 GB)","₹8,199"
"REDMI 14C 5G (Stardust Purple, 128 GB)","₹9,999"
"realme C61 (Marble Black, 128 GB)","₹8,199"
"vivo Y22 (Starlit Blue, 128 GB)","₹9,599"
"REDMI A4 5G only on Jio SIM (Sparkle Purple, 64 GB)","₹7,999"
"REDMI 14C 5G (Stargaze Black, 128 GB)","₹9,999"
"Tecno Spark Go 5G (Turquoise Green, 128 GB)","₹9,999"
"Infinix HOT 60i 5G (Sleek Black, 128 GB)","₹9,499"
"REDMI 14C 5G (Stargaze Black, 128 GB)","₹9,999"
"Tecno Spark Go 5G (Turquoise Green, 128 GB)","₹9,999"
"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Midnight Violet, 128 GB)","₹11,999"
"Infinix HOT 60i 5G (Sleek Black, 128 GB)","₹9,499"
"REDMI 14C 5G (Starlight Blue, 128 GB)","₹9,599"
"REDMI A4 5G only on Jio SIM (Starry Black, 128 GB)","₹8,733"
"REDMI A3 (Olive Green, 128 GB)","₹8,490"
"OPPO A3x (Ocean Blue, 128 GB)","₹9,899"
"Tecno Spark 30C 5G (Aurora Cloud, 128 GB)","₹9,499"
"REDMI 14C 5G (Starlight Blue, 128 GB)","₹9,999"
"vivo Y18t (Gem Green, 128 GB)","₹9,666"
"Samsung Galaxy A06 (Gold, 128 GB)","₹9,999"
"REDMI A4 (Sparkle Purple, 128 GB)","₹8,768"
"REDMI 13c 5G (Starlight Black, 128 GB)","₹9,927"
"Infinix HOT 60i 5G (Shadow Blue, 128 GB)","₹9,499"
"I Kall Z10Pro Smartphone 6.53 inch HD Display with 4000mAh Battery, 20MP Rear Camera (Ocean Blue, 64 G...","₹6,367"
"REDMI A3 (Olive Green, 128 GB)","₹8,499"
"REDMI A4 (Starry Black, 128 GB)","₹9,490"
"Infinix Hot 12 Pro (Racing Black, 128 GB)","₹9,499"
"Motorola G10 Power (Aurora Grey, 64 GB)","₹9,999"
"REDMI 14C 5G (Stardust Purple, 128 GB)","₹9,707"
"Tecno Spark 30C 5G (Azure Sky, 128 GB)","₹9,499"
"POCO C65 (Pastel Blue, 128 GB)","₹8,499"
"POCO M6 5G - Locked with Airtel Prepaid (Polaris Green, 128 GB)","₹10,499"
"Infinix Hot 50 5G (Sage Green, 128 GB)","₹9,999"
"REDMI 13c 5G (Startrail Green, 128 GB)","₹9,999"
"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Midnight Violet, 128 GB)","₹11,999"
"LAVA O2 (Imperial Green, 128 GB)","₹9,149"
"Infinix HOT 60i 5G (Monsoon Green, 128 GB)","₹9,499"
"vivo Y18i (Space Black, 64 GB)","₹9,499"
"Motorola G32 (Mineral Gray, 64 GB)","₹10,999"
"REDMI 13C (Black, 128 GB)","₹8,999"
"REDMI 14C 5G (Stardust Purple, 64 GB)","₹9,350"
"REDMI 13c 5G (Startrail Silver, 128 GB)","₹10,990"
"POCO C51 - Locked with Airtel Prepaid (Power Black, 64 GB)","₹8,499"
"itel P55 5G (Galaxy Blue, 128 GB)","₹9,040"
"Redmi 9 (Sky Blue, 64 GB)","₹9,999"
"Motorola e32s (Slate Gray, 64 GB)","₹9,999"
"REDMI 13c 5G (Startrail Green, 128 GB)","₹10,990"
"REDMI 14C 5G (Stargaze Black, 64 GB)","₹9,280"
"Tecno Spark 10 5G (Meta White, 64 GB)","₹9,099"
"REDMI 13c 5G (Startrail Silver, 128 GB)","₹9,999"
"REDMI 13C 5G (Startrail Green, 128 GB)","₹9,999"
"REDMI 13C (Starshine Green, 128 GB)","₹8,999"
"POCO C51 (Power Black, 128 GB)","₹8,999"
"itel A60s, Upto 8GB RAM|8MP AI Rear Camera|5000mAh Battery|Faceunlock & Fingerprint (Moonlit Violet, 1...","₹6,990"
"vivo Y18e (Space Black, 64 GB)","₹9,499"
"REDMI 14C 5G (STARGAZE BLACK, 64 GB)","₹9,498"
"REDMI 12 (Moonstone Silver, 128 GB)","₹9,499"
"realme Narzo 30A (Laser Black, 32 GB)","₹9,999"
"REDMI 13C (Stardust Black, 128 GB)","₹9,999"
"OPPO A17 (Lake Blue, 64 GB)","₹9,999"
"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Midnight Violet, 128 GB)","₹11,999"
"Nokia C 30 (Green, 32 GB)","₹9,999"
"REDMI 11 Prime (Flashy Black, 64 GB)","₹9,990"
"OPPO A18 (Glowing Black, 64 GB)","₹9,892"
"realme C30s (Stripe Black, 64 GB)","₹9,499"
"POCO C55 (Power Black, 64 GB)","₹9,499"
"realme C25s (Watery Grey, 64 GB)","₹9,899"
"Nokia C22 Dual Sim with Jelly Case | 6.51 inch Display | 5000 mAh Battery (Purple, 64 GB)","₹9,499"
"REDMI 11 Prime (Playful Green, 64 GB)","₹9,990"
"REDMI 10 (Midnight Black, 64 GB)","₹9,999"
"itel P55 5G |50MP Dual Rear Camera|5000mAh Battery|Expandable Upto 1 TB (Mint Green, 64 GB)","₹8,480"
"REDMI 13C (Starfrost White, 128 GB)","₹9,999"
"OPPO A18 (Glowing Blue, 128 GB)","₹9,499"
"POCO C65 (Pastel Green, 128 GB)","₹9,499"
"REDMI 10 (Caribbean Green, 64 GB)","₹9,790"
"POCO C55 (Cool Blue, 64 GB)","₹9,499"
"REDMI 12 (Pastel Blue, 128 GB)","₹9,499"
"POCO C55 (Forest Green, 64 GB)","₹9,499"
"Infinix HOT 30i (Glacier Blue, 128 GB)","₹9,499"
"REDMI A2 (Classic Black, 64 GB)","₹8,990"
"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Midnight Violet, 128 GB)","₹11,999"
"realme P3 Lite 5G Charger in the Box (Purple Blossom, 128 GB)","₹10,499"
"realme C63 (Jade Green, 64 GB)","₹8,499"
"POCO C65 (Pastel Green, 256 GB)","₹10,999"
"realme C63 (Leather Blue, 64 GB)","₹8,499"
"vivo Y18t (Space Black, 128 GB)","₹8,499"
"vivo T3 Lite 5G (Majestic Black, 128 GB)","₹10,499"
"Motorola G32 (Satin Maroon, 128 GB)","₹10,999"
