Product_name,Price
"CMF by Nothing Phone 2 Pro (Black, 128 GB)","₹18,999"
"CMF by Nothing Phone 2 Pro (Black, 128 GB)","₹18,999"
"CMF by Nothing Phone 2 Pro (Black, 128 GB)","₹18,999"
"CMF by Nothing Phone 2 Pro (Black, 128 GB)","₹18,999"
"CMF by Nothing Phone 2 Pro (Orange, 128 GB)","₹18,999"
"CMF by Nothing Phone 2 Pro (Orange, 128 GB)","₹18,999"
"Infinix HOT 30i (Glacier Blue, 128 GB)","₹9,499"
"Infinix HOT 30i (Glacier Blue, 128 GB)","₹9,499"
"Infinix HOT 60i 5G (Sleek Black, 128 GB)","₹9,499"
"Infinix HOT 60i 5G (Sleek Black, 128 GB)","₹9,499"
"LAVA O2 (Imperial Green, 128 GB)","₹9,149"
"LAVA O2 (Imperial Green, 128 GB)","₹9,149"
"Nokia C 30 (Green, 32 GB)","₹9,999"
"Nokia C 30 (Green, 32 GB)","₹9,999"
"Nokia C22 Dual Sim with Jelly Case | 6.51 inch Display | 5000 mAh Battery (Purple, 64 GB)","₹9,499"
"Nokia C22 Dual Sim with Jelly Case | 6.51 inch Display | 5000 mAh Battery (Purple, 64 GB)","₹9,499"
"OPPO A17 (Lake Blue, 64 GB)","₹9,999"
"OPPO A17 (Lake Blue, 64 GB)","₹9,999"
"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Midnight Violet, 128 GB)","₹11,999"
"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Midnight Violet, 128 GB)","₹11,999"
"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Midnight Violet, 128 GB)","₹11,999"
"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Midnight Violet, 128 GB)","₹11,999"
"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Midnight Violet, 128 GB)","₹11,999"
"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Midnight Violet, 128 GB)","₹11,999"
"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Midnight Violet, 128 GB)","₹11,999"
"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Midnight Violet, 128 GB)","₹11,999"
"POCO C55 (Cool Blue, 64 GB)","₹9,499"
"POCO C55 (Cool Blue, 64 GB)","₹9,499"
"POCO C65 (Pastel Green, 128 GB)","₹9,499"
"POCO C65 (Pastel Green, 128 GB)","₹9,499"
"REDMI 11 Prime (Flashy Black, 64 GB)","₹9,990"
"REDMI 11 Prime (Flashy Black, 64 GB)","₹9,990"
"REDMI 11 Prime (Playful Green, 64 GB)","₹9,990"
"REDMI 11 Prime (Playful Green, 64 GB)","₹9,990"
"REDMI 12 (Moonstone Silver, 128 GB)","₹9,499"
"REDMI 12 (Moonstone Silver, 128 GB)","₹9,499"
"REDMI 12 (Pastel Blue, 128 GB)","₹9,499"
"REDMI 12 (Pastel Blue, 128 GB)","₹9,499"
"REDMI 13C (Stardust Black, 128 GB)","₹9,999"
"REDMI 13C (Stardust Black, 128 GB)","₹9,999"
"REDMI 13C (Starfrost White, 128 GB)","₹9,999"
"REDMI 13C (Starfrost White, 128 GB)","₹9,999"
"REDMI 14C 5G (Stargaze Black, 128 GB)","₹9,999"
"REDMI 14C 5G (Stargaze Black, 128 GB)","₹9,999"
"Redmi 9 (Sky Blue, 64 GB)","₹9,999"
"Redmi 9 (Sky Blue, 64 GB)","₹9,999"
"Samsung Galaxy A35 5G (Awesome Lilac, 128 GB)","₹21,999"
"Samsung Galaxy A35 5G (Awesome Lilac, 128 GB)","₹21,999"
"Tecno Spark Go 5G (Turquoise Green, 128 GB)","₹9,999"
"Tecno Spark Go 5G (Turquoise Green, 128 GB)","₹9,999"
"realme C25s (Watery Grey, 64 GB)","₹9,899"
"realme C25s (Watery Grey, 64 GB)","₹9,899"
"realme C30s (Stripe Black, 64 GB)","₹9,499"
"realme C30s (Stripe Black, 64 GB)","₹9,499"
